finding_id,severity,category,file,row_or_section,description,evidence,required_fix,fix_status,blocking,notes
F-A65C-C01-R01,P1,COMPATIBLE_AS_IS_OVERCLAIM,a6-5-c-contract-field-mapping.csv,COMPATIBLE_AS_IS opaqueIdentifier rows,Java String identifier fields marked COMPATIBLE_AS_IS without static proof of opaqueIdentifier pattern compliance,"opaque_pattern=^[A-Za-z0-9][A-Za-z0-9._:-]*$; affected_count=10; ids=['A65C-C01-WF-004-C18AE6F2BCAB', 'A65C-C01-WF-004-DF790B4C08EA', 'A65C-C01-WF-004-F3607EEBA0DB', 'A65C-C01-WF-005-3D361F649A49', 'A65C-C01-WF-006-854A8499D32B', 'A65C-C01-WF-006-D6B903623617', 'A65C-C01-WF-007-65A397DFA7B8', 'A65C-C01-WF-007-CA77971B6338']...",Downgrade compatibility_class to ADAPTER_REQUIRED or UNKNOWN_FAIL_CLOSED; add IDENTIFIER_SEMANTICS_MISMATCH gaps; transform STRING_NORMALIZATION or MANUAL_ADAPTER_REQUIRED,FIXED,YES,H-A65C-C01-01 CONFIRMED; H-A65C-C01-02 CONFIRMED | remediated_in_review_branch
F-A65C-C01-R02,P1,EXACT_OVERCLAIM,a6-5-c-contract-field-mapping.csv,EXACT cdpReference.version,EXACT retained for boxed Integer with UNKNOWN_FAIL_CLOSED nullability/requiredness against required target integer,exact_ids=['A65C-C01-WF-015-B9CC41A22017'],Downgrade EXACT to RENAMED; compatibility to ADAPTER_REQUIRED or UNKNOWN_FAIL_CLOSED; add REQUIREDNESS/NULLABILITY gaps,FIXED,YES,H-A65C-C01-08 related | remediated_in_review_branch
F-A65C-C01-R03,P1,REQUIREDNESS_NULLABILITY,a6-5-c-contract-gap-register.csv,REQUIREDNESS_MISMATCH/NULLABILITY_MISMATCH counts were 0,Implementation gap distribution claimed 0 requiredness and nullability mismatches despite UNKNOWN source evidence vs REQUIRED/non-null targets on COMPATIBLE_AS_IS rows,"issues=[('NULLABILITY', 'A65C-C01-WF-005-3D361F649A49'), ('REQUIREDNESS', 'A65C-C01-WF-005-928675E7CD40'), ('NULLABILITY', 'A65C-C01-WF-005-928675E7CD40'), ('REQUIREDNESS', 'A65C-C01-WF-015-201FA456C89D'), ('NULLABILITY', 'A65C-C01-WF-015-201FA456C89D'), ('REQUIREDNESS', 'A65C-C01-WF-015-B9CC41A22017'), ('NULLABILITY', 'A65C-C01-WF-015-B9CC41A22017')]",Add REQUIREDNESS_MISMATCH and NULLABILITY_MISMATCH gaps; downgrade affected COMPATIBLE_AS_IS rows,FIXED,YES,H-A65C-C01-08 CONFIRMED; IMPLEMENTATION gap distribution overclaim | remediated_in_review_branch
F-A65C-C01-R04,P1,MAJOR_VERSION_OVERCLAIM,a6-5-c-contract-field-mapping.csv,MAJOR_VERSION_REQUIRED rows,MAJOR_VERSION_REQUIRED used for legacy callParams/metadata maps without proving breaking v1 impossibility via adapter or extension,"ids=['A65C-C01-WF-015-2F12DFF2FED2', 'A65C-C01-WF-016-93EFAE69D581']",Downgrade to CONTRACT_EXTENSION_CANDIDATE (candidate only; not authorized),FIXED,YES,H-A65C-C01-07 related major escalation | remediated_in_review_branch
F-A65C-C01-R05,P2,CONTRACT_EXTENSION_ESCALATION,a6-5-c-contract-field-mapping.csv,CONTRACT_EXTENSION_CANDIDATE agent/legacy-only fields,Many SOURCE_ONLY agent-strategy and quality fields escalated to CONTRACT_EXTENSION_CANDIDATE without evidence that semantic must survive cross-boundary contracts,candidate_downgrade_paths=24,Downgrade legacy-only / agent-internal fields to DOCUMENTED_ONLY where no cross-boundary survival evidence,FIXED,NO,H-A65C-C01-07 CONFIRMED; NON_BLOCKING after remediation | remediated_in_review_branch
F-A65C-C01-R06,P1,IMPLEMENTATION_FALSE_PASS,a6-5-c-contract-validation-evidence.csv,implementation validation semantic completeness,Implementation 54 checks did not detect COMPATIBLE_AS_IS/EXACT/MAJOR_VERSION semantic overclaims; integrity PASS rows remain historically preserved but mapping quality was overstated relative to fail-closed review standard,Implementation validation focused on structural integrity; semantic COMPATIBLE_AS_IS correctness was not a required check — recorded as review finding for architecture judgment impact,Preserve 54 impl rows; append independent review validations; remediate mapping/gaps; note IMPLEMENTATION_FALSE_PASS for semantic overclaim context,FIXED,YES,H-A65C-C01-12 CONFIRMED as semantic overclaim not caught by impl validation suite | remediated_in_review_branch
F-A65C-C01-R07,P2,SCANNER_LIMITATION,legacy-contract-extraction.md,WF-005 trailing comment fields,Line-anchored scanners can miss fields with trailing end-of-line comments unless comment-tolerant; independent review scanner was adjusted,cdpDataJson has trailing // comment,Document scanner limitation; confirm field coverage with comment-tolerant independent scanner,FIXED,NO,NON_BLOCKING; fixed in reviewer method | remediated_in_review_branch
F-A65C-C01-R08,P3,TOOL_NESTED_CARDINALITY,legacy-contract-extraction.md,WF-015/WF-016 row counts,"Extra mapping rows beyond declared fields are TARGET_ONLY required-contract fields (WF-015 +10, WF-016 +8)",WF-015:13 declared / 23 rows; WF-016:22 declared / 30 rows,Document explanation in review report; no mapping deletion required,NOT_APPLICABLE,NO,H-A65C-C01-09 REJECTED as defect; explanation valid | cardinality explained; not a defect
F-A65C-C01-R09,P3,STATEPATCH_AUTHORIZATION,a6-5-c-contract-field-mapping.csv,notes scan,No StatePatch-as-authorization overclaim language found in mapping notes,search negative,None,NOT_APPLICABLE,NO,H related boundary OK; NOT_APPLICABLE defect
F-A65C-C01-R10,P3,AUDIT_TRACE_SEPARATION,a6-5-c-contract-field-mapping.csv,WF-007,No AuditTrail->TraceRef conflation or replacement claim found,negative search,None,NOT_APPLICABLE,NO,H-A65C-C01-11 REJECTED as defect
